patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,382087680146,26/06/1954,0376557151,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Tiểu đường,11.69,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,490452264114,27/08/1948,0356364070,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Khỏe mạnh,11.95,Vũ Phạm,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Phúc Phú Đặng,268975292556,03/01/1964,0927207716,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Tim mạch,5.69,Lâm Hoàng,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Quý ông Bảo Lê,055271867211,18/07/1971,0833101026,johnmai@example.net,"6 Phạm Hẻm
JohnThành phố, 214975",Khỏe mạnh,11.71,Chị Hải Bùi,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Bác Tùng Nguyễn,001844628324,31/01/1951,0998241954,jane14@example.com,"4 John Khu
Quận JaneQuận, 665579",Tim mạch,8.53,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,033190780765,10/04/1968,0998716749,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tim mạch,5.26,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,920896102149,10/05/1938,0589559633,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tiểu đường,4.16,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,091338361905,12/11/1942,0927278601,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Tiểu đường,10.18,Ông Hưng Mai,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Chị Hồng Dương,918989253676,02/01/2001,0549517232,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Huyết áp cao,6.72,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,315569666149,13/10/1960,0785578686,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Tim mạch,4.42,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,443670433159,06/02/1949,0509022205,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Tiểu đường,4.12,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,167665738410,25/12/2001,0856354100,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Huyết áp cao,8.58,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,827984820963,31/01/1964,0583933626,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Tiểu đường,11.83,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,289041436802,07/10/1965,0301631545,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Khỏe mạnh,11.6,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,309593675712,21/08/1994,0798250623,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Huyết áp cao,7.9,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,818735890123,08/08/1961,0952066545,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Tim mạch,9.49,Anh Minh Dương,04/06/2026
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,Cô Hạnh Mai,522836996940,10/02/1981,0304708489,phamjane@example.org,"037 Jane Số
Thị xã JaneThị xã, 355836",Huyết áp cao,9.35,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Ông Tùng Phạm,518858600516,04/01/1952,0705563241,zle@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Khỏe mạnh,10.62,Bà Vi Mai,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Nhật Vũ,999617218808,29/05/1967,0794331410,jane58@example.org,"23 Jane Số
JaneThị xã, 165290",Huyết áp cao,10.85,Quý cô Hồng Hoàng,16/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Nhật Văn Đặng,242505635472,19/02/1976,0357908798,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Khỏe mạnh,11.89,Nhật Xuân Dương,28/06/2026
88bc539c-9f4c-4b79-bb10-987f20ac3703,Xuân Bùi,466148022830,08/03/1939,0788499506,buijohn@example.com,"53 Đặng Tổ
JaneThị xã, 364525",Tim mạch,3.7,Nhật Nguyễn,26/05/2026
f3b1025b-fff9-4585-8d55-7b618a175dfe,Quang Quang Nguyễn,106495713384,19/09/1939,0387763048,johnnguyen@example.net,"19 Jane Khu
JohnXã, 736745",Tim mạch,4.11,Bảo Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Kim Hoàng Trần,178596333184,18/07/1968,0365113822,vujohn@example.net,"6 Trần Tổ
Thị xã JaneThành phố, 554582",Huyết áp cao,9.41,Bảo Trí Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Trọng Mai,948914335663,18/04/2001,0573773532,ubui@example.net,"473 Hoàng Số
JohnThị xã, 992288",Tim mạch,10.6,Phúc Mai Bảo Phạm,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Tùng Nguyễn,008885405825,21/10/2005,0314962013,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Khỏe mạnh,5.79,Bà Dương Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Nhật Tấn Đặng,621586446633,31/03/1997,0830554482,jane43@example.org,"823 Jane Khu
JohnQuận, 410636",Huyết áp cao,7.75,Bà Lan Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Ngọc Mai,260832791366,03/04/1975,0785740732,janetran@example.org,"75 John Khu
JohnThành phố, 520172",Khỏe mạnh,5.84,Ông Nhiên Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Vũ Phạm,354879462943,13/08/1951,0348040698,mhoang@example.net,"74 Vũ Đường
Quận JohnHuyện, 792509",Tim mạch,6.06,Bảo Phạm,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Nhật Mai Bảo Vũ,565103106688,08/12/1939,0790656150,janevu@example.net,"3 Hoàng Làng
JohnXã, 335729",Khỏe mạnh,7.95,Bà Bảo Trần,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Bảo Trần,886788183560,14/04/1999,0581564556,jane48@example.net,"0 Đặng Khu
Thành phố JohnPhường, 976566",Tiểu đường,5.24,Vi Vũ,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Quý ông Anh Lê,775650495973,25/10/1994,0968456092,etran@example.com,"1 Jane Số
JanePhường, 519904",Khỏe mạnh,10.19,Chi Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Phương Văn Mai,710574317790,14/05/1998,0931870125,mnguyen@example.net,"7 John Khu
Huyện JanePhường, 608257",Huyết áp cao,4.61,An Hoàng,05/06/2026
4f8d5238-288b-48b5-b5b4-53ca3d42993c,Vân Bùi,268297610155,06/03/1948,0318638961,johnduong@example.org,"48 Bùi Dãy
JohnThị xã, 678043",Tim mạch,9.84,Quý cô Lâm Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Hạnh Bùi,477857239181,01/10/1981,0875849625,john44@example.net,"787 Đặng Số
JaneQuận, 831380",Tiểu đường,7.18,Quý cô Mai Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Kim Trí Dương,843019560140,13/07/1940,0904453849,janetran@example.com,"262 Jane Khu
JanePhường, 184216",Khỏe mạnh,5.15,Tùng Hữu Đặng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Duyên Trần,158757899849,12/06/1967,0591350016,john16@example.org,"24 John Tổ
Huyện JaneHuyện, 551607",Tim mạch,3.54,Chị Phương Bùi,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Cô Khoa Bùi,103342151586,08/04/1968,0548232849,jhoang@example.org,"40 Vũ Hẻm
Thị xã JaneXã, 413685",Tiểu đường,7.13,Nhật Đức Dương,14/06/2026
627b41a1-ffd6-4232-b2ff-e2944d57d880,Ông Quang Bùi,443201761449,06/05/1984,0831890383,jane06@example.com,"7 Phạm Tổ
Quận JanePhường, 892280",Tiểu đường,4.25,Cô Hải Nguyễn,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Hoàng Quang Vũ,186278297933,17/12/1979,0870992058,mle@example.org,"8 Lê Khu
JanePhường, 455168",Tiểu đường,10.73,Nhật Trần,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Phương Phú Trần,077925680383,12/03/1989,0542149370,vujohn@example.com,"6 Trần Làng
JohnXã, 688678",Tiểu đường,12.0,Trọng Hải Trần,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Huy Trần,680685314622,08/07/1954,0763882654,nguyenjane@example.com,"2 Dương Tổ
JohnThị xã, 786735",Tim mạch,10.1,Nhật Hoàng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Trung Mai Dương,165591907722,18/08/1967,0948782782,john58@example.net,"31 Trần Làng
Thành phố JaneQuận, 232040",Tiểu đường,9.45,Cô Ánh Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Bà Vi Lê,520383046746,17/11/1935,0880198293,john28@example.com,"0 John Tổ
Huyện JohnQuận, 378258",Huyết áp cao,8.15,Lan Bùi,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Bác Minh Hoàng,318874169140,03/05/1950,0574561644,omai@example.net,"00 Bùi Số
Thị xã JaneThành phố, 184714",Tiểu đường,5.04,Trọng Trí Trần,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Thành Thế Dương,127291865991,19/04/2004,0509925461,ytran@example.net,"73 Đặng Dãy
JanePhường, 199704",Khỏe mạnh,6.16,Huy Tấn Vũ,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Ông Vũ Trần,834833984154,07/03/1948,0594107549,vtran@example.net,"0 Trần Số
JanePhường, 153945",Khỏe mạnh,9.46,Trọng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Quý cô Lâm Trần,310475783921,22/02/1983,0886953956,john49@example.org,"4 John Khu
JaneHuyện, 106402",Huyết áp cao,3.61,Chị Khoa Bùi,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Hương Mai,364217614394,09/10/1964,0714211171,dbui@example.com,"5 John Hẻm
Thành phố JohnHuyện, 564637",Khỏe mạnh,5.92,Nhật Mai Bùi,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Huy Đức Vũ,404628622715,21/09/2001,0858942802,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Huyết áp cao,6.89,Chị Kim Mai,17/05/2026
d556b37d-8f08-41ee-8011-316b3ae88926,Vũ Hữu Nguyễn,775329974982,11/11/1994,0923279105,duongjohn@example.com,"6 Trần Số
Huyện JohnXã, 582446",Huyết áp cao,7.85,Vũ Bảo Trần,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Kim Vũ,249467150053,13/09/1981,0317499486,janele@example.org,"8 Jane Tổ
Quận JohnQuận, 368402",Tiểu đường,10.47,Chị Duyên Lê,28/05/2026
2d5972c6-134a-4a2f-a7cf-705cc257cf73,Quý ông Nhiên Hoàng,937706356183,03/08/1996,0820023767,jane27@example.org,"90 Mai Ngõ
JaneThị xã, 139434",Khỏe mạnh,6.47,Linh Vũ,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Khoa Hoàng,623150188227,03/07/2004,0944567952,lduong@example.net,"93 Hoàng Dãy
Thành phố JaneThành phố, 950360",Tim mạch,10.03,Vũ Xuân Nguyễn,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Bà Thành Vũ,198464439266,21/03/1988,0837024389,rdang@example.net,"518 Vũ Khu
Huyện JohnXã, 795847",Tiểu đường,7.43,Bà Hạnh Bùi,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Tùng Bùi,484285651862,13/03/1980,0360354871,johnbui@example.net,"23 Dương Làng
Quận JohnThành phố, 410160",Tim mạch,11.54,Phương Mai,12/06/2026
09a9d1c1-86ca-46f4-a238-fe93bd17c5e8,Trọng Trí Hoàng,961051765156,06/10/1986,0563562848,johnle@example.net,"7 Jane Tổ
Thị xã JanePhường, 921874",Huyết áp cao,11.76,Anh Tùng Phạm,02/03/2026
78116802-c8cc-4cfe-8f01-f944f7315749,Bà Dương Hoàng,601003227414,17/06/1995,0957634197,xvu@example.com,"392 Nguyễn Dãy
JohnPhường, 986982",Tim mạch,5.65,Hạnh Trần,29/05/2026
e7c225da-7306-4588-85d5-a68d290a3abb,Quý cô Hà Phạm,614869690201,21/11/1996,0504545571,john60@example.com,"15 John Tổ
Huyện JohnQuận, 140163",Tim mạch,7.63,Châu Lê,28/05/2026
9d8776a0-72d7-4bdd-b817-99ffb49e04cc,Xuân Trần,643883633838,29/01/1938,0856766499,john28@example.net,"434 John Làng
JaneThành phố, 216242",Tiểu đường,3.51,Ông Minh Hoàng,16/02/2026
6de299a1-4a90-4d0c-a4c1-73b9b7f28572,Duyên Đặng,891977945900,26/03/1968,0372330451,qle@example.net,"888 Jane Dãy
Thị xã JaneHuyện, 883618",Khỏe mạnh,9.85,Linh Trần,08/03/2026
a0d572c8-a837-4e68-bba2-05ca3dba6da8,Khoa Đặng,910036616592,25/08/1953,0843651101,dangjane@example.net,"7 John Ngõ
JohnHuyện, 311383",Khỏe mạnh,5.72,Vi Phạm,22/06/2026
4f612217-eef1-4694-90ca-e32d0aba590e,Phương Mai Bảo Vũ,957503433171,23/06/1940,0746076856,janedang@example.org,"15 Bùi Dãy
JaneQuận, 620306",Tim mạch,7.08,Bác Minh Vũ,05/06/2026
14348f62-6cac-428c-ba22-006515260718,Khoa Xuân Mai,343969604644,23/06/1975,0511831355,john15@example.net,"6 Jane Tổ
JohnPhường, 469685",Tim mạch,5.93,Hạnh Thị Trần,11/05/2026
83599af6-5d01-455f-a7fd-64c4a334058a,Cô Bảo Hoàng,642808904550,16/02/1995,0330908814,lejohn@example.org,"69 John Dãy
JaneThị xã, 900152",Huyết áp cao,4.75,Khoa Lê,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Quang Trần,502093962716,08/01/1939,0849036820,janemai@example.com,"47 Jane Dãy
Thành phố JohnThành phố, 574001",Khỏe mạnh,5.4,Quý cô Hà Đặng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Khoa Lê,225404943845,10/03/1959,0744540066,john13@example.org,"589 Dương Hẻm
Thành phố JaneThị xã, 851759",Tim mạch,11.74,Quý ông Huy Hoàng,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Nhật Dương,944529218342,27/11/2005,0577043035,john89@example.org,"80 John Khu
Quận JanePhường, 336422",Huyết áp cao,4.25,Minh Thế Trần,18/02/2026
